"fecha","tipus_dia"
2024-01-01,"Vacances"
2024-01-02,"Vacances"
2024-01-03,"Vacances"
2024-01-04,"Vacances"
2024-01-05,"Vacances"
2024-01-06,"Dissabte"
2024-01-07,"Diumenge"
2024-01-08,"Classe"
2024-01-09,"Classe"
2024-01-10,"Classe"
2024-01-11,"Classe"
2024-01-12,"Classe"
2024-01-13,"Dissabte"
2024-01-14,"Diumenge"
2024-01-15,"Classe"
2024-01-16,"Classe"
2024-01-17,"Classe"
2024-01-18,"Classe"
2024-01-19,"Classe"
2024-01-20,"Dissabte"
2024-01-21,"Diumenge"
2024-01-22,"Classe"
2024-01-23,"Classe"
2024-01-24,"Classe"
2024-01-25,"Classe"
2024-01-26,"Classe"
2024-01-27,"Dissabte"
2024-01-28,"Diumenge"
2024-01-29,"Classe"
2024-01-30,"Classe"
2024-01-31,"Classe"
2024-02-01,"Classe"
2024-02-02,"Classe"
2024-02-03,"Dissabte"
2024-02-04,"Diumenge"
2024-02-05,"Classe"
2024-02-06,"Classe"
2024-02-07,"Classe"
2024-02-08,"Classe"
2024-02-09,"Classe"
2024-02-10,"Dissabte"
2024-02-11,"Diumenge"
2024-02-12,"Classe"
2024-02-13,"Classe"
2024-02-14,"Classe"
2024-02-15,"Classe"
2024-02-16,"Classe"
2024-02-17,"Dissabte"
2024-02-18,"Diumenge"
2024-02-19,"Classe"
2024-02-20,"Classe"
2024-02-21,"Classe"
2024-02-22,"Classe"
2024-02-23,"Classe"
2024-02-24,"Dissabte"
2024-02-25,"Diumenge"
2024-02-26,"Classe"
2024-02-27,"Classe"
2024-02-28,"Classe"
2024-02-29,"Classe"
2024-03-01,"Classe"
2024-03-02,"Dissabte"
2024-03-03,"Diumenge"
2024-03-04,"Classe"
2024-03-05,"Classe"
2024-03-06,"Classe"
2024-03-07,"Classe"
2024-03-08,"Classe"
2024-03-09,"Dissabte"
2024-03-10,"Diumenge"
2024-03-11,"No lectiu"
2024-03-12,"No lectiu"
2024-03-13,"Avaluacio"
2024-03-14,"Avaluacio"
2024-03-15,"Avaluacio"
2024-03-16,"Dissabte"
2024-03-17,"Diumenge"
2024-03-18,"Avaluacio"
2024-03-19,"Avaluacio"
2024-03-20,"Avaluacio"
2024-03-21,"Avaluacio"
2024-03-22,"Avaluacio"
2024-03-23,"Dissabte"
2024-03-24,"Diumenge"
2024-03-25,"Vacances"
2024-03-26,"Vacances"
2024-03-27,"Vacances"
2024-03-28,"Vacances"
2024-03-29,"Vacances"
2024-03-30,"Dissabte"
2024-03-31,"Diumenge"
2024-04-01,"Vacances"
