CUPS;Fecha y hora de la medida;Periodo;Medida de la magnitud Activa Entrante (neta);Medida de la magnitud activa saliente (neta);Medida de la magnitud Reactiva Inductiva;Medida de la magnitud Reactiva Capacitiva;Potencia maxima demandada
ES0031405997616001GX; 01/01/2024 01:00:00;1;329;0;16;0;329
ES0031405997616001GX; 01/01/2024 02:00:00;2;327;0;16;0;327
ES0031405997616001GX; 01/01/2024 03:00:00;3;329;0;16;0;329
ES0031405997616001GX; 01/01/2024 04:00:00;4;323;0;13;0;323
ES0031405997616001GX; 01/01/2024 05:00:00;5;322;0;13;0;322
ES0031405997616001GX; 01/01/2024 06:00:00;6;341;0;20;0;341
ES0031405997616001GX; 01/01/2024 07:00:00;7;385;0;43;0;385
ES0031405997616001GX; 01/01/2024 08:00:00;8;477;0;45;0;477
ES0031405997616001GX; 01/01/2024 09:00:00;9;560;0;89;0;560
ES0031405997616001GX; 01/01/2024 10:00:00;10;542;0;81;0;542
ES0031405997616001GX; 01/01/2024 11:00:00;11;540;0;86;0;540
ES0031405997616001GX; 01/01/2024 12:00:00;12;528;0;81;0;528
ES0031405997616001GX; 01/01/2024 13:00:00;13;518;0;76;0;518
ES0031405997616001GX; 01/01/2024 14:00:00;14;510;0;76;0;510
ES0031405997616001GX; 01/01/2024 15:00:00;15;507;0;73;0;507
ES0031405997616001GX; 01/01/2024 16:00:00;16;511;0;74;0;511
ES0031405997616001GX; 01/01/2024 17:00:00;17;512;0;83;0;512
ES0031405997616001GX; 01/01/2024 18:00:00;18;530;0;83;0;530
ES0031405997616001GX; 01/01/2024 19:00:00;19;532;0;78;0;532
ES0031405997616001GX; 01/01/2024 20:00:00;20;537;0;79;0;537
ES0031405997616001GX; 01/01/2024 21:00:00;21;540;0;76;0;540
ES0031405997616001GX; 01/01/2024 22:00:00;22;389;0;40;0;389
ES0031405997616001GX; 01/01/2024 23:00:00;23;364;0;33;0;364
ES0031405997616001GX; 01/01/2024 24:00:00;24;371;0;33;0;371
ES0031405997616001GX; 02/01/2024 01:00:00;1;379;0;33;0;379
ES0031405997616001GX; 02/01/2024 02:00:00;2;379;0;30;0;379
ES0031405997616001GX; 02/01/2024 03:00:00;3;364;0;24;0;364
ES0031405997616001GX; 02/01/2024 04:00:00;4;349;0;16;0;349
ES0031405997616001GX; 02/01/2024 05:00:00;5;349;0;15;0;349
ES0031405997616001GX; 02/01/2024 06:00:00;6;385;0;24;0;385
ES0031405997616001GX; 02/01/2024 07:00:00;7;510;0;49;0;510
ES0031405997616001GX; 02/01/2024 08:00:00;8;949;0;224;0;949
ES0031405997616001GX; 02/01/2024 09:00:00;9;1164;0;269;0;1164
ES0031405997616001GX; 02/01/2024 10:00:00;10;1083;0;231;0;1083
ES0031405997616001GX; 02/01/2024 11:00:00;11;1127;0;240;0;1127
ES0031405997616001GX; 02/01/2024 12:00:00;12;1051;0;214;0;1051
ES0031405997616001GX; 02/01/2024 13:00:00;13;1034;0;207;0;1034
ES0031405997616001GX; 02/01/2024 14:00:00;14;1000;0;209;0;1000
ES0031405997616001GX; 02/01/2024 15:00:00;15;1019;0;225;0;1019
ES0031405997616001GX; 02/01/2024 16:00:00;16;972;0;208;0;972
ES0031405997616001GX; 02/01/2024 17:00:00;17;950;0;203;0;950
ES0031405997616001GX; 02/01/2024 18:00:00;18;939;0;185;0;939
ES0031405997616001GX; 02/01/2024 19:00:00;19;937;0;193;0;937
ES0031405997616001GX; 02/01/2024 20:00:00;20;934;0;197;0;934
ES0031405997616001GX; 02/01/2024 21:00:00;21;905;0;186;0;905
ES0031405997616001GX; 02/01/2024 22:00:00;22;520;0;48;0;520
ES0031405997616001GX; 02/01/2024 23:00:00;23;409;0;39;0;409
ES0031405997616001GX; 02/01/2024 24:00:00;24;403;0;35;0;403
ES0031405997616001GX; 03/01/2024 01:00:00;1;373;0;21;0;373
ES0031405997616001GX; 03/01/2024 02:00:00;2;336;0;18;0;336
ES0031405997616001GX; 03/01/2024 03:00:00;3;324;0;17;0;324
ES0031405997616001GX; 03/01/2024 04:00:00;4;323;0;15;0;323
ES0031405997616001GX; 03/01/2024 05:00:00;5;324;0;16;0;324
ES0031405997616001GX; 03/01/2024 06:00:00;6;356;0;20;0;356
ES0031405997616001GX; 03/01/2024 07:00:00;7;473;0;44;0;473
ES0031405997616001GX; 03/01/2024 08:00:00;8;838;0;199;0;838
ES0031405997616001GX; 03/01/2024 09:00:00;9;1048;0;245;0;1048
ES0031405997616001GX; 03/01/2024 10:00:00;10;977;0;198;0;977
ES0031405997616001GX; 03/01/2024 11:00:00;11;970;0;202;0;970
ES0031405997616001GX; 03/01/2024 12:00:00;12;937;0;195;0;937
ES0031405997616001GX; 03/01/2024 13:00:00;13;917;0;177;0;917
ES0031405997616001GX; 03/01/2024 14:00:00;14;880;0;169;0;880
ES0031405997616001GX; 03/01/2024 15:00:00;15;875;0;165;0;875
ES0031405997616001GX; 03/01/2024 16:00:00;16;858;0;167;0;858
ES0031405997616001GX; 03/01/2024 17:00:00;17;826;0;153;0;826
ES0031405997616001GX; 03/01/2024 18:00:00;18;832;0;156;0;832
ES0031405997616001GX; 03/01/2024 19:00:00;19;823;0;151;0;823
ES0031405997616001GX; 03/01/2024 20:00:00;20;821;0;169;0;821
ES0031405997616001GX; 03/01/2024 21:00:00;21;797;0;187;0;797
ES0031405997616001GX; 03/01/2024 22:00:00;22;484;0;71;0;484
ES0031405997616001GX; 03/01/2024 23:00:00;23;393;0;31;0;393
ES0031405997616001GX; 03/01/2024 24:00:00;24;396;0;28;0;396
ES0031405997616001GX; 04/01/2024 01:00:00;1;384;0;17;0;384
ES0031405997616001GX; 04/01/2024 02:00:00;2;347;0;12;0;347
ES0031405997616001GX; 04/01/2024 03:00:00;3;334;0;11;0;334
ES0031405997616001GX; 04/01/2024 04:00:00;4;333;0;11;0;333
ES0031405997616001GX; 04/01/2024 05:00:00;5;333;0;10;0;333
ES0031405997616001GX; 04/01/2024 06:00:00;6;368;0;18;0;368
ES0031405997616001GX; 04/01/2024 07:00:00;7;488;0;40;0;488
ES0031405997616001GX; 04/01/2024 08:00:00;8;867;0;178;0;867
ES0031405997616001GX; 04/01/2024 09:00:00;9;1036;0;237;0;1036
ES0031405997616001GX; 04/01/2024 10:00:00;10;966;0;186;0;966
ES0031405997616001GX; 04/01/2024 11:00:00;11;942;0;170;0;942
ES0031405997616001GX; 04/01/2024 12:00:00;12;951;0;160;0;951
ES0031405997616001GX; 04/01/2024 13:00:00;13;917;0;137;0;917
ES0031405997616001GX; 04/01/2024 14:00:00;14;899;0;153;0;899
ES0031405997616001GX; 04/01/2024 15:00:00;15;886;0;176;0;886
ES0031405997616001GX; 04/01/2024 16:00:00;16;840;0;174;0;840
ES0031405997616001GX; 04/01/2024 17:00:00;17;840;0;185;0;840
ES0031405997616001GX; 04/01/2024 18:00:00;18;852;0;193;0;852
ES0031405997616001GX; 04/01/2024 19:00:00;19;846;0;173;0;846
ES0031405997616001GX; 04/01/2024 20:00:00;20;838;0;177;0;838
ES0031405997616001GX; 04/01/2024 21:00:00;21;819;0;173;0;819
ES0031405997616001GX; 04/01/2024 22:00:00;22;505;0;69;0;505
ES0031405997616001GX; 04/01/2024 23:00:00;23;419;0;36;0;419
ES0031405997616001GX; 04/01/2024 24:00:00;24;415;0;34;0;415
ES0031405997616001GX; 05/01/2024 01:00:00;1;381;0;19;0;381
ES0031405997616001GX; 05/01/2024 02:00:00;2;343;0;15;0;343
ES0031405997616001GX; 05/01/2024 03:00:00;3;337;0;16;0;337
ES0031405997616001GX; 05/01/2024 04:00:00;4;335;0;15;0;335
ES0031405997616001GX; 05/01/2024 05:00:00;5;334;0;16;0;334
ES0031405997616001GX; 05/01/2024 06:00:00;6;365;0;16;0;365
ES0031405997616001GX; 05/01/2024 07:00:00;7;478;0;51;0;478
ES0031405997616001GX; 05/01/2024 08:00:00;8;814;0;169;0;814
ES0031405997616001GX; 05/01/2024 09:00:00;9;970;0;217;0;970
ES0031405997616001GX; 05/01/2024 10:00:00;10;885;0;177;0;885
ES0031405997616001GX; 05/01/2024 11:00:00;11;898;0;177;0;898
ES0031405997616001GX; 05/01/2024 12:00:00;12;853;0;164;0;853
ES0031405997616001GX; 05/01/2024 13:00:00;13;844;0;152;0;844
ES0031405997616001GX; 05/01/2024 14:00:00;14;845;0;158;0;845
ES0031405997616001GX; 05/01/2024 15:00:00;15;885;0;174;0;885
ES0031405997616001GX; 05/01/2024 16:00:00;16;864;0;169;0;864
ES0031405997616001GX; 05/01/2024 17:00:00;17;830;0;164;0;830
ES0031405997616001GX; 05/01/2024 18:00:00;18;822;0;163;0;822
ES0031405997616001GX; 05/01/2024 19:00:00;19;817;0;158;0;817
ES0031405997616001GX; 05/01/2024 20:00:00;20;819;0;159;0;819
ES0031405997616001GX; 05/01/2024 21:00:00;21;817;0;164;0;817
ES0031405997616001GX; 05/01/2024 22:00:00;22;507;0;57;0;507
ES0031405997616001GX; 05/01/2024 23:00:00;23;397;0;38;0;397
ES0031405997616001GX; 05/01/2024 24:00:00;24;399;0;38;0;399
ES0031405997616001GX; 06/01/2024 01:00:00;1;388;0;25;0;388
ES0031405997616001GX; 06/01/2024 02:00:00;2;345;0;20;0;345
ES0031405997616001GX; 06/01/2024 03:00:00;3;340;0;24;0;340
ES0031405997616001GX; 06/01/2024 04:00:00;4;336;0;22;0;336
ES0031405997616001GX; 06/01/2024 05:00:00;5;331;0;20;0;331
ES0031405997616001GX; 06/01/2024 06:00:00;6;340;0;26;0;340
ES0031405997616001GX; 06/01/2024 07:00:00;7;409;0;45;0;409
ES0031405997616001GX; 06/01/2024 08:00:00;8;457;0;69;0;457
ES0031405997616001GX; 06/01/2024 09:00:00;9;519;0;94;0;519
ES0031405997616001GX; 06/01/2024 10:00:00;10;485;0;72;0;485
ES0031405997616001GX; 06/01/2024 11:00:00;11;501;0;81;0;501
ES0031405997616001GX; 06/01/2024 12:00:00;12;487;0;72;0;487
ES0031405997616001GX; 06/01/2024 13:00:00;13;495;0;77;0;495
ES0031405997616001GX; 06/01/2024 14:00:00;14;496;0;76;0;496
ES0031405997616001GX; 06/01/2024 15:00:00;15;484;0;74;0;484
ES0031405997616001GX; 06/01/2024 16:00:00;16;484;0;75;0;484
ES0031405997616001GX; 06/01/2024 17:00:00;17;494;0;80;0;494
ES0031405997616001GX; 06/01/2024 18:00:00;18;517;0;83;0;517
ES0031405997616001GX; 06/01/2024 19:00:00;19;513;0;86;0;513
ES0031405997616001GX; 06/01/2024 20:00:00;20;527;0;90;0;527
ES0031405997616001GX; 06/01/2024 21:00:00;21;508;0;82;0;508
ES0031405997616001GX; 06/01/2024 22:00:00;22;405;0;49;0;405
ES0031405997616001GX; 06/01/2024 23:00:00;23;341;0;20;0;341
ES0031405997616001GX; 06/01/2024 24:00:00;24;342;0;21;0;342
ES0031405997616001GX; 07/01/2024 01:00:00;1;340;0;25;0;340
ES0031405997616001GX; 07/01/2024 02:00:00;2;335;0;21;0;335
ES0031405997616001GX; 07/01/2024 03:00:00;3;333;0;20;0;333
ES0031405997616001GX; 07/01/2024 04:00:00;4;331;0;20;0;331
ES0031405997616001GX; 07/01/2024 05:00:00;5;330;0;22;0;330
ES0031405997616001GX; 07/01/2024 06:00:00;6;340;0;26;0;340
ES0031405997616001GX; 07/01/2024 07:00:00;7;374;0;45;0;374
ES0031405997616001GX; 07/01/2024 08:00:00;8;430;0;62;0;430
ES0031405997616001GX; 07/01/2024 09:00:00;9;513;0;98;0;513
ES0031405997616001GX; 07/01/2024 10:00:00;10;489;0;80;0;489
ES0031405997616001GX; 07/01/2024 11:00:00;11;496;0;79;0;496
ES0031405997616001GX; 07/01/2024 12:00:00;12;493;0;82;0;493
ES0031405997616001GX; 07/01/2024 13:00:00;13;505;0;86;0;505
ES0031405997616001GX; 07/01/2024 14:00:00;14;500;0;78;0;500
ES0031405997616001GX; 07/01/2024 15:00:00;15;497;0;78;0;497
ES0031405997616001GX; 07/01/2024 16:00:00;16;509;0;84;0;509
ES0031405997616001GX; 07/01/2024 17:00:00;17;514;0;87;0;514
ES0031405997616001GX; 07/01/2024 18:00:00;18;519;0;81;0;519
ES0031405997616001GX; 07/01/2024 19:00:00;19;533;0;95;0;533
ES0031405997616001GX; 07/01/2024 20:00:00;20;538;0;102;0;538
ES0031405997616001GX; 07/01/2024 21:00:00;21;525;0;99;0;525
ES0031405997616001GX; 07/01/2024 22:00:00;22;398;0;47;0;398
ES0031405997616001GX; 07/01/2024 23:00:00;23;335;0;18;0;335
ES0031405997616001GX; 07/01/2024 24:00:00;24;340;0;21;0;340
ES0031405997616001GX; 08/01/2024 01:00:00;1;351;0;23;0;351
ES0031405997616001GX; 08/01/2024 02:00:00;2;346;0;22;0;346
ES0031405997616001GX; 08/01/2024 03:00:00;3;343;0;21;0;343
ES0031405997616001GX; 08/01/2024 04:00:00;4;343;0;21;0;343
ES0031405997616001GX; 08/01/2024 05:00:00;5;350;0;22;0;350
ES0031405997616001GX; 08/01/2024 06:00:00;6;393;0;36;0;393
ES0031405997616001GX; 08/01/2024 07:00:00;7;494;0;56;0;494
ES0031405997616001GX; 08/01/2024 08:00:00;8;981;0;220;0;981
ES0031405997616001GX; 08/01/2024 09:00:00;9;1351;0;301;0;1351
ES0031405997616001GX; 08/01/2024 10:00:00;10;1377;0;275;0;1377
ES0031405997616001GX; 08/01/2024 11:00:00;11;1452;0;293;0;1452
ES0031405997616001GX; 08/01/2024 12:00:00;12;1450;0;291;0;1450
ES0031405997616001GX; 08/01/2024 13:00:00;13;1426;0;280;0;1426
ES0031405997616001GX; 08/01/2024 14:00:00;14;1356;0;261;0;1356
ES0031405997616001GX; 08/01/2024 15:00:00;15;1353;0;253;0;1353
ES0031405997616001GX; 08/01/2024 16:00:00;16;1333;0;244;0;1333
ES0031405997616001GX; 08/01/2024 17:00:00;17;1305;0;248;0;1305
ES0031405997616001GX; 08/01/2024 18:00:00;18;1218;0;224;0;1218
ES0031405997616001GX; 08/01/2024 19:00:00;19;1173;0;213;0;1173
ES0031405997616001GX; 08/01/2024 20:00:00;20;1032;0;187;0;1032
ES0031405997616001GX; 08/01/2024 21:00:00;21;943;0;181;0;943
ES0031405997616001GX; 08/01/2024 22:00:00;22;515;0;39;0;515
ES0031405997616001GX; 08/01/2024 23:00:00;23;415;0;34;0;415
ES0031405997616001GX; 08/01/2024 24:00:00;24;401;0;32;0;401
ES0031405997616001GX; 09/01/2024 01:00:00;1;371;0;20;0;371
ES0031405997616001GX; 09/01/2024 02:00:00;2;339;0;19;0;339
ES0031405997616001GX; 09/01/2024 03:00:00;3;329;0;18;0;329
ES0031405997616001GX; 09/01/2024 04:00:00;4;326;0;19;0;326
ES0031405997616001GX; 09/01/2024 05:00:00;5;327;0;18;0;327
