CUPS;Fecha y hora de la medida;Periodo;Medida de la magnitud Activa Entrante (neta);Medida de la magnitud activa saliente (neta);Medida de la magnitud Reactiva Inductiva;Medida de la magnitud Reactiva Capacitiva;Potencia maxima demandada
ES0031408318021001RP; 01/01/2024 01:00:00;1;96;0;26;0;96
ES0031408318021001RP; 01/01/2024 02:00:00;2;96;0;26;0;96
ES0031408318021001RP; 01/01/2024 03:00:00;3;97;0;25;0;97
ES0031408318021001RP; 01/01/2024 04:00:00;4;96;0;25;0;96
ES0031408318021001RP; 01/01/2024 05:00:00;5;95;0;26;0;95
ES0031408318021001RP; 01/01/2024 06:00:00;6;106;0;24;0;106
ES0031408318021001RP; 01/01/2024 07:00:00;7;97;0;25;0;97
ES0031408318021001RP; 01/01/2024 08:00:00;8;98;0;22;0;98
ES0031408318021001RP; 01/01/2024 09:00:00;9;103;0;21;0;103
ES0031408318021001RP; 01/01/2024 10:00:00;10;100;0;22;0;100
ES0031408318021001RP; 01/01/2024 11:00:00;11;101;0;21;0;101
ES0031408318021001RP; 01/01/2024 12:00:00;12;99;0;21;0;99
ES0031408318021001RP; 01/01/2024 13:00:00;13;100;0;22;0;100
ES0031408318021001RP; 01/01/2024 14:00:00;14;99;0;22;0;99
ES0031408318021001RP; 01/01/2024 15:00:00;15;100;0;21;0;100
ES0031408318021001RP; 01/01/2024 16:00:00;16;100;0;22;0;100
ES0031408318021001RP; 01/01/2024 17:00:00;17;103;0;23;0;103
ES0031408318021001RP; 01/01/2024 18:00:00;18;103;0;21;0;103
ES0031408318021001RP; 01/01/2024 19:00:00;19;105;0;22;0;105
ES0031408318021001RP; 01/01/2024 20:00:00;20;103;0;21;0;103
ES0031408318021001RP; 01/01/2024 21:00:00;21;104;0;24;0;104
ES0031408318021001RP; 01/01/2024 22:00:00;22;105;0;24;0;105
ES0031408318021001RP; 01/01/2024 23:00:00;23;103;0;27;0;103
ES0031408318021001RP; 01/01/2024 24:00:00;24;98;0;26;0;98
ES0031408318021001RP; 02/01/2024 01:00:00;1;104;0;26;0;104
ES0031408318021001RP; 02/01/2024 02:00:00;2;106;0;25;0;106
ES0031408318021001RP; 02/01/2024 03:00:00;3;101;0;24;0;101
ES0031408318021001RP; 02/01/2024 04:00:00;4;98;0;22;0;98
ES0031408318021001RP; 02/01/2024 05:00:00;5;101;0;24;0;101
