CUPS;Fecha y hora de la medida;Periodo;Medida de la magnitud Activa Entrante (neta);Medida de la magnitud activa saliente (neta);Medida de la magnitud Reactiva Inductiva;Medida de la magnitud Reactiva Capacitiva;Potencia maxima demandada
ES0031405997616001GX;01/01/2024 00:15:00;1;83;0;4;0;332
ES0031405997616001GX;01/01/2024 00:30:00;1;83;0;5;0;332
ES0031405997616001GX;01/01/2024 00:45:00;1;81;0;3;0;324
ES0031405997616001GX;01/01/2024 01:00:00;1;82;0;4;0;328
ES0031405997616001GX;01/01/2024 01:15:00;2;82;0;4;0;328
ES0031405997616001GX;01/01/2024 01:30:00;2;83;0;5;0;332
ES0031405997616001GX;01/01/2024 01:45:00;2;81;0;4;0;324
ES0031405997616001GX;01/01/2024 02:00:00;2;81;0;3;0;324
ES0031405997616001GX;01/01/2024 02:15:00;3;83;0;5;0;332
ES0031405997616001GX;01/01/2024 02:30:00;3;83;0;4;0;332
ES0031405997616001GX;01/01/2024 02:45:00;3;82;0;4;0;328
ES0031405997616001GX;01/01/2024 03:00:00;3;81;0;3;0;324
ES0031405997616001GX;01/01/2024 03:15:00;4;80;0;3;0;320
ES0031405997616001GX;01/01/2024 03:30:00;4;80;0;3;0;320
ES0031405997616001GX;01/01/2024 03:45:00;4;81;0;4;0;324
ES0031405997616001GX;01/01/2024 04:00:00;4;82;0;3;0;328
ES0031405997616001GX;01/01/2024 04:15:00;5;80;0;3;0;320
ES0031405997616001GX;01/01/2024 04:30:00;5;79;0;2;0;316
ES0031405997616001GX;01/01/2024 04:45:00;5;80;0;4;0;320
ES0031405997616001GX;01/01/2024 05:00:00;5;83;0;4;0;332
ES0031405997616001GX;01/01/2024 05:15:00;6;83;0;3;0;332
ES0031405997616001GX;01/01/2024 05:30:00;6;82;0;4;0;328
ES0031405997616001GX;01/01/2024 05:45:00;6;88;0;6;0;352
ES0031405997616001GX;01/01/2024 06:00:00;6;88;0;7;0;352
ES0031405997616001GX;01/01/2024 06:15:00;7;96;0;9;0;384
ES0031405997616001GX;01/01/2024 06:30:00;7;97;0;12;0;388
ES0031405997616001GX;01/01/2024 06:45:00;7;96;0;11;0;384
ES0031405997616001GX;01/01/2024 07:00:00;7;96;0;11;0;384
ES0031405997616001GX;01/01/2024 07:15:00;8;121;0;12;0;484
ES0031405997616001GX;01/01/2024 07:30:00;8;120;0;12;0;480
ES0031405997616001GX;01/01/2024 07:45:00;8;118;0;10;0;472
ES0031405997616001GX;01/01/2024 08:00:00;8;118;0;11;0;472
ES0031405997616001GX;01/01/2024 08:15:00;9;136;0;20;0;544
ES0031405997616001GX;01/01/2024 08:30:00;9;139;0;23;0;556
ES0031405997616001GX;01/01/2024 08:45:00;9;142;0;22;0;568
ES0031405997616001GX;01/01/2024 09:00:00;9;143;0;24;0;572
ES0031405997616001GX;01/01/2024 09:15:00;10;136;0;20;0;544
ES0031405997616001GX;01/01/2024 09:30:00;10;134;0;19;0;536
ES0031405997616001GX;01/01/2024 09:45:00;10;137;0;21;0;548
ES0031405997616001GX;01/01/2024 10:00:00;10;135;0;21;0;540
ES0031405997616001GX;01/01/2024 10:15:00;11;134;0;21;0;536
ES0031405997616001GX;01/01/2024 10:30:00;11;135;0;22;0;540
ES0031405997616001GX;01/01/2024 10:45:00;11;135;0;22;0;540
ES0031405997616001GX;01/01/2024 11:00:00;11;136;0;21;0;544
ES0031405997616001GX;01/01/2024 11:15:00;12;135;0;21;0;540
ES0031405997616001GX;01/01/2024 11:30:00;12;131;0;20;0;524
ES0031405997616001GX;01/01/2024 11:45:00;12;130;0;20;0;520
ES0031405997616001GX;01/01/2024 12:00:00;12;132;0;20;0;528
ES0031405997616001GX;01/01/2024 12:15:00;13;131;0;19;0;524
ES0031405997616001GX;01/01/2024 12:30:00;13;129;0;19;0;516
ES0031405997616001GX;01/01/2024 12:45:00;13;130;0;19;0;520
ES0031405997616001GX;01/01/2024 13:00:00;13;128;0;19;0;512
