CUPS;Fecha y hora de la medida;Periodo;Medida de la magnitud Activa Entrante (neta);Medida de la magnitud activa saliente (neta);Medida de la magnitud Reactiva Inductiva;Medida de la magnitud Reactiva Capacitiva;Potencia maxima demandada
ES0031408318021001RP;01/01/2024 00:15:00;1;24;0;6;0;96
ES0031408318021001RP;01/01/2024 00:30:00;1;23;0;7;0;92
ES0031408318021001RP;01/01/2024 00:45:00;1;25;0;6;0;100
ES0031408318021001RP;01/01/2024 01:00:00;1;24;0;7;0;96
ES0031408318021001RP;01/01/2024 01:15:00;2;25;0;7;0;100
ES0031408318021001RP;01/01/2024 01:30:00;2;24;0;6;0;96
ES0031408318021001RP;01/01/2024 01:45:00;2;23;0;7;0;92
ES0031408318021001RP;01/01/2024 02:00:00;2;24;0;6;0;96
ES0031408318021001RP;01/01/2024 02:15:00;3;24;0;6;0;96
ES0031408318021001RP;01/01/2024 02:30:00;3;24;0;6;0;96
ES0031408318021001RP;01/01/2024 02:45:00;3;24;0;6;0;96
ES0031408318021001RP;01/01/2024 03:00:00;3;25;0;7;0;100
ES0031408318021001RP;01/01/2024 03:15:00;4;24;0;7;0;96
ES0031408318021001RP;01/01/2024 03:30:00;4;24;0;6;0;96
ES0031408318021001RP;01/01/2024 03:45:00;4;24;0;6;0;96
ES0031408318021001RP;01/01/2024 04:00:00;4;24;0;6;0;96
ES0031408318021001RP;01/01/2024 04:15:00;5;23;0;7;0;92
ES0031408318021001RP;01/01/2024 04:30:00;5;24;0;6;0;96
ES0031408318021001RP;01/01/2024 04:45:00;5;24;0;6;0;96
ES0031408318021001RP;01/01/2024 05:00:00;5;24;0;7;0;96
ES0031408318021001RP;01/01/2024 05:15:00;6;27;0;6;0;108
ES0031408318021001RP;01/01/2024 05:30:00;6;26;0;7;0;104
ES0031408318021001RP;01/01/2024 05:45:00;6;27;0;6;0;108
ES0031408318021001RP;01/01/2024 06:00:00;6;26;0;5;0;104
ES0031408318021001RP;01/01/2024 06:15:00;7;24;0;7;0;96
ES0031408318021001RP;01/01/2024 06:30:00;7;24;0;5;0;96
ES0031408318021001RP;01/01/2024 06:45:00;7;25;0;6;0;100
ES0031408318021001RP;01/01/2024 07:00:00;7;24;0;7;0;96
ES0031408318021001RP;01/01/2024 07:15:00;8;24;0;5;0;96
ES0031408318021001RP;01/01/2024 07:30:00;8;24;0;6;0;96
ES0031408318021001RP;01/01/2024 07:45:00;8;25;0;6;0;100
ES0031408318021001RP;01/01/2024 08:00:00;8;25;0;5;0;100
ES0031408318021001RP;01/01/2024 08:15:00;9;26;0;5;0;104
ES0031408318021001RP;01/01/2024 08:30:00;9;25;0;5;0;100
ES0031408318021001RP;01/01/2024 08:45:00;9;26;0;5;0;104
ES0031408318021001RP;01/01/2024 09:00:00;9;26;0;6;0;104
